countrycode,party_abbr,party_id,year_first,year_last,seat_share,year
ITA,FeL,100043,1994,1994,4,1994
NLD,AOV,120008,1994,1994,4,1994
NLD,PvdD,120027,2017,2021,4,2021
BGR,BZNS,180008,1990,1990,4,1990
CZE,Others/Indep.,200099,1996,2010,4,2006
CZE,LIDEM,200009,2010,2010,4,2010
HRV,HLSR,300004,2011,2015,4,2011
HRV,HDSSB,300020,2007,2016,4,2011
ISL,NPP,80005,1953,1953,3.8,1953
IRL,S-PBP,90001,2011,2020,3.8,2016
ROU,PSM,270001,1992,2000,3.8,1992
ROU,PAC,270018,1992,1996,3.8,1992
SVN,DL,290017,1990,1990,3.8,1990
DEU,KPD,60001,1949,1949,3.7,1949
ITA,PSIUP,100008,1968,1972,3.7,1968
ESP,ERC,150007,1977,2019,3.7,2019
LUX,MIP,110012,1964,1964,3.6,1964
HUN,MIÉP,220009,1990,2014,3.6,1998
SVK,Republika,280023,2020,2020,3.6,2020
HRV,IDS,300006,1992,2020,3.6,1992
PRT,IL,140017,2019,2022,3.5,2022
POL,PPPP,260023,1991,1991,3.5,1991
POL,BBWR,260016,1993,1993,3.5,1993
POL,P,260031,2019,2019,3.5,2019
DNK,Others/Indep.,30098,1945,2015,3.4,1945
DNK,UF,30014,1960,1964,3.4,1960
DNK,VS,30004,1968,1984,3.4,1979
IRL,NL,90005,1944,1948,3.4,1948
BEL,LDD,20021,2007,2010,3.3,2007
BEL,Others/Indep.,20099,1946,2014,3.3,2014
GRC,POLAN,70017,1993,1993,3.3,1993
GRC,NIKI,70026,2023,2023,3.3,2023
ITA,PdCI,100002,1996,2006,3.3,1996
ITA,SD,100049,2006,2006,3.3,2006
LUX,GAP,110007,1989,1989,3.3,1989
LUX,GLEI,110008,1984,1989,3.3,1989
LUX,DL,110014,1999,2018,3.3,2013
LUX,Pi,110015,2018,2018,3.3,2018
ITA,Indep. Left,100004,1968,1987,3.2,1983
ITA,Dem.,100041,1996,1996,3.2,1996
ROU,PSDR,270009,1990,2000,3.2,2000
AUT,KPÖ,10001,1945,1956,3,1949
