"country","party_id","party_abbrev","party_name","party_name_english"
"ROM",2706,"UDMR","Uniunea Democratǎ Maghiarǎ din România","Hungarian Democratic Union of Romania"
"ROM",2707,"CDR 2000","Convenţia Democratǎ Românǎ","Romanian Democratic Convention 2000"
"ROM",2708,"FDGR","Forumul Democrat al Germanilor din România","Democratic Forum of Germans of Romania"
"ROM",2709,"UNPR","Uniunea Naionalǎ pentru Progresul României","National Union for the Progress of Romania"
"ROM",2710,"PP-DD","Partidul Poporului—Dan Diaconescu","People’s Party—Dan Diaconescu"
"ROM",2711,"PMP","Partidul Micarea Popularǎ","People’s Movement Party"
"ROM",2712,"PLR","Partidul Liberal Reformator","Liberal Reformist Party"
"SLO",2801,"LS-HZDS","Ludová strana-Hnutie za demokratické Slovensko","People’s Party-Movement for a Democratic Slovakia"
"SLO",2802,"SDKU; SDKU-DS","Slovenská demokratická a krestanská únia; Slovenská demokratická a krestanská unia—Demokratická strana","Slovak Democratic and Christian Union; Slovak Democratic and Christian Union—Democratic Party"
"SLO",2803,"Smer; Smer-SD","Strana Smer-Tretia Cesta; Smer-sociálna demokracia","Direction-Third Way; Direction—Social Democracy"
